"No.","gp","gs","g","a","pts","sh","sh%","sog","sog%","up","dn","gb","to","ct","fo","fo%","Name","School"
"0",5,"0",0,0,0,3,"0",0,"0",0,0,4,7,1,"0-0",NA,"Levi Willett","Hiram"
"0",7,"4",4,4,8,10,"40.0",9,"90.0",0,0,4,5,2,"0-0",NA,"Zach Busby","Wittenberg"
"1",3,"-",4,0,4,9,"44.4",7,"77.8",0,1,1,0,0,"0-0",NA,"Teddy Berner","Wooster"
"1",4,"0",2,3,5,6,"0.333",3,"0.5",0,0,2,5,1,"0-0",NA,"Nate Podolsky","Denison"
"1",5,"-",3,4,7,10,"30.0",6,"60.0",0,0,2,0,2,"0-0",NA,"Ethan Pac","Wittenberg"
"1",5,"0",0,0,0,0,"0",0,"0",0,0,1,1,3,"0-0",NA,"Jayden Griffin","Hiram"
"1",6,"6",13,5,18,35,"0.371",22,"0.629",3,0,9,9,2,"0-0",NA,"Spencer Amacher","Ohio Wesleyan"
"1",7,"0",8,5,13,19,"0.421",12,"0.632",0,0,7,2,1,"0-0",NA,"Rowan Goldin","Kenyon"
"1",8,"4",8,0,8,20,"0.4",9,"0.45",1,0,3,3,3,"0-0",NA,"Sam Ryu","Oberlin"
"1",8,"7",2,0,2,8,"0.25",4,"0.5",0,0,49,15,6,"37-93",0.398,"Jack Kneisley","Depauw"
"10",3,"-",0,0,0,1,"0.0",0,"0.0",0,0,3,0,0,"0-0",NA,"Jimmy Paranzino","Wooster"
"10",3,"0",1,0,1,1,"1",1,"1",0,0,5,1,3,"0-0",NA,"John Cervieri","Ohio Wesleyan"
"10",6,"0",1,2,3,3,"0.333",1,"0.333",0,0,7,0,2,"0-0",NA,"Mike Bazzano","Kenyon"
"10",6,"6",1,1,2,4,"0.25",2,"0.5",0,0,16,9,3,"5-13",0.385,"Aaron Gardner","Hiram"
"10",8,"0",0,1,1,2,"0",0,"0",0,0,10,2,2,"0-0",NA,"Jack Sload","Denison"
"10",8,"1",0,1,1,2,"0",0,"0",0,0,12,9,8,"0-2",0,"David Belisle","Oberlin"
"11",1,"0",0,0,0,0,"0",0,"0",0,0,0,0,0,"0-0",NA,"Turner Keck","Depauw"
"11",3,"0",0,1,1,1,"0",0,"0",0,0,3,3,0,"0-0",NA,"David Lifson","Kenyon"
"11",6,"6",1,1,2,9,"0.111",7,"0.778",1,0,3,4,0,"0-0",NA,"Ethan Mayer","Hiram"
"11",8,"0",9,7,16,29,"0.31",16,"0.552",1,0,5,5,0,"0-0",NA,"Quinn O'Donnell","Denison"
"11",8,"7",13,3,16,55,"23.6",29,"52.7",0,1,9,13,1,"0-0",NA,"Kyle Gould","Wittenberg"
"12",2,"0",0,0,0,0,"0",0,"0",0,0,4,0,2,"0-0",NA,"Andrew Randall","Denison"
"12",3,"0",0,0,0,3,"0",3,"1",0,0,0,0,0,"0-0",NA,"John McDonnell","Oberlin"
"12",3,"3",7,1,8,16,"0.438",12,"0.75",0,0,3,2,0,"0-0",NA,"Carson Geier","Ohio Wesleyan"
"12",7,"-",0,2,2,1,"0.0",0,"0.0",0,0,4,1,2,"0-0",NA,"Max Fletcher","Wooster"
"12",7,"7",0,0,0,1,"0",1,"1",0,0,8,1,4,"0-0",NA,"Graham O'Brien","Kenyon"
"12",8,"1",0,0,0,1,"0",0,"0",0,0,4,5,4,"0-0",NA,"Conner Cochran","Wabash"
"12",8,"1",3,0,3,19,"15.8",14,"73.7",0,0,1,6,0,"0-0",NA,"Mitchell Steinker","Wittenberg"
"12",8,"7",17,4,21,49,"0.347",32,"0.653",1,0,15,16,1,"0-0",NA,"Connor Gibson","Depauw"
"13",1,"-",0,0,0,0,"-",0,"-",0,0,1,0,0,"0-0",NA,"Silas Richard","Wooster"
"13",1,"0",0,0,0,0,"0",0,"0",0,0,0,0,0,"0-0",NA,"Michael Cassidy","Denison"
"13",6,"0",1,0,1,1,"1",1,"1",0,0,20,0,0,"25-49",0.51,"Will Jordan","Kenyon"
"13",6,"1",0,0,0,0,"0",0,"0",0,0,2,1,2,"0-0",NA,"Samuel Miller","Wabash"
"13",6,"5",0,0,0,0,"0",0,"0",0,0,7,8,3,"0-0",NA,"Josef Aschenbrenner","Hiram"
"13",7,"0",0,1,1,3,"0",1,"0.333",0,0,11,1,0,"27-47",0.574,"Evan Rose","Ohio Wesleyan"
"13",8,"6",15,2,17,55,"0.273",28,"0.509",1,0,15,7,4,"0-0",NA,"Niko Maheras","Oberlin"
"14",2,"-",0,0,0,1,"0.0",0,"0.0",0,0,1,0,0,"0-0",NA,"Quinn Niblock","Wooster"
"14",5,"0",0,0,0,0,"0",0,"0",0,0,2,0,0,"6-7",0.857,"Tucker Fulton","Kenyon"
"14",6,"0",0,0,0,0,"0",0,"0",0,0,2,2,0,"1-1",1,"Sam Duffy","Oberlin"
"14",6,"3",0,0,0,3,"0",2,"0.667",0,0,7,9,8,"0-0",NA,"Ryan Haffey","Hiram"
"14",8,"0",7,3,10,22,"0.318",12,"0.545",0,0,6,4,1,"0-0",NA,"Lawton Corrigan","Denison"
"14",8,"1",7,1,8,29,"0.241",16,"0.552",1,0,10,17,0,"0-0",NA,"Josh Taylor","Wabash"
"14",8,"2",6,6,12,22,"0.273",11,"0.5",0,0,3,2,1,"0-0",NA,"Jared Friesen","Ohio Wesleyan"
"14",8,"3",0,0,0,1,"0",1,"1",0,0,19,5,17,"0-0",NA,"Russ Nelson","Depauw"
"15",1,"1",1,0,1,4,"0.25",2,"0.5",0,0,6,0,0,"0-0",NA,"Trevor Flugum","Hiram"
"15",3,"0",1,1,2,5,"0.2",2,"0.4",0,0,3,0,1,"0-0",NA,"Mike Kapral","Kenyon"
"15",6,"5",0,0,0,0,"0",0,"0",0,0,13,6,8,"0-0",NA,"Ben Johnson","Oberlin"
"15",7,"0",3,1,4,13,"0.231",8,"0.615",0,0,5,3,1,"0-0",NA,"Reid Edelstein","Denison"
"15",8,"-",1,0,1,3,"33.3",2,"66.7",0,0,10,2,4,"0-0",NA,"Rowan Keesser","Wooster"
"15",8,"-",2,2,4,8,"25.0",6,"75.0",1,0,5,3,0,"0-0",NA,"Matt Selan","Wittenberg"
"16",2,"-",4,0,4,7,"57.1",6,"85.7",0,0,3,1,3,"0-0",NA,"Ben Huntington","Wooster"
"16",2,"0",0,0,0,0,"0",0,"0",0,0,1,0,2,"0-0",NA,"Alden Heske","Kenyon"
"16",2,"0",0,1,1,4,"0",1,"0.25",0,0,0,1,0,"0-0",NA,"Peter Tyack","Denison"
"16",8,"0",3,4,7,19,"0.158",12,"0.632",0,0,6,10,1,"0-0",NA,"Henry Little","Ohio Wesleyan"
"16",8,"1",0,0,0,5,"0",2,"0.4",0,0,17,4,2,"66-162",0.407,"Hal Nathan","Oberlin"
"16",8,"8",7,7,14,46,"15.2",20,"43.5",0,0,5,12,3,"0-0",NA,"Nathan Brown","Wittenberg"
"17",3,"-",1,0,1,1,"100.0",1,"100.0",0,0,0,0,0,"0-0",NA,"Riley Schulze","Wooster"
"17",3,"0",0,0,0,0,"0",0,"0",0,0,1,0,0,"0-0",NA,"Samuel Holleran","Kenyon"
"17",6,"5",2,0,2,20,"0.1",8,"0.4",1,0,10,12,0,"17-82",0.207,"Brett Johnson","Hiram"
"17",8,"0",3,0,3,6,"0.5",6,"1",0,0,69,5,0,"95-124",0.766,"Grant Larson","Denison"
"17",8,"4",10,4,14,22,"0.455",16,"0.727",1,0,4,16,2,"0-0",NA,"Collin Kilpatrick","Depauw"
"17",8,"8",6,8,14,37,"0.162",20,"0.541",1,0,9,12,2,"0-0",NA,"Garrett Smith","Ohio Wesleyan"
"18",1,"0",0,0,0,0,"0",0,"0",0,0,1,0,0,"0-0",NA,"Ethan Rice","Denison"
"18",2,"0",0,2,2,2,"0",0,"0",0,0,0,2,1,"0-0",NA,"Jack McCarren","Kenyon"
"18",4,"0",4,1,5,6,"0.667",4,"0.667",0,0,2,2,1,"0-0",NA,"Leander Herman","Oberlin"
"18",6,"0",0,2,2,9,"0",4,"0.444",0,0,3,8,1,"0-0",NA,"Sam Santiago","Wabash"
"18",8,"-",0,0,0,4,"0.0",1,"25.0",0,0,5,6,3,"0-0",NA,"Charles Morawski","Wittenberg"
"18",8,"8",0,0,0,0,"-",0,"-",0,0,6,5,5,"0-0",NA,"Oliver Snow","Wooster"
"19",2,"-",0,0,0,0,"-",0,"-",0,0,0,0,0,"0-0",NA,"Jacob Van Der Hyde","Wooster"
"19",2,"0",5,0,5,7,"0.714",6,"0.857",0,0,1,0,0,"0-0",NA,"Hill Carter","Kenyon"
"19",3,"0",1,0,1,1,"1",1,"1",0,0,10,1,3,"0-0",NA,"Colin Counahan","Ohio Wesleyan"
"19",7,"0",11,1,12,28,"0.393",20,"0.714",0,0,4,2,1,"0-0",NA,"Will Kenney","Denison"
"19",7,"7",0,0,0,1,"0.0",0,"0.0",0,0,9,2,3,"0-0",NA,"Andrew Barnes","Wittenberg"
"19",8,"8",10,7,17,45,"0.222",24,"0.533",0,0,7,24,1,"0-0",NA,"Jack Flynn","Depauw"
"2",4,"1",0,0,0,0,"0",0,"0",0,0,2,0,0,"0-0",NA,"Carl Mazabras","Ohio Wesleyan"
"2",6,"0",5,4,9,18,"0.278",10,"0.556",0,0,5,4,2,"0-0",NA,"Charlie Walsh","Denison"
"2",7,"0",6,1,7,28,"0.214",12,"0.429",1,0,11,5,1,"0-0",NA,"Chase MacCartee","Kenyon"
"2",7,"2",0,0,0,0,"0",0,"0",0,0,3,1,3,"0-0",NA,"Jackson Ayres","Wabash"
"2",8,"-",1,0,1,2,"50.0",2,"100.0",0,0,7,4,4,"0-0",NA,"Brad Ramsey","Wittenberg"
"2",8,"-",1,0,1,3,"33.3",2,"66.7",0,0,14,4,3,"0-0",NA,"Tucker Joseph","Wooster"
"2",8,"5",8,12,20,36,"0.222",18,"0.5",0,0,7,14,0,"0-0",NA,"Max Cha","Oberlin"
"20",4,"0",0,0,0,0,"0",0,"0",0,0,0,0,0,"0-0",NA,"Christian Pfennig","Oberlin"
"20",7,"7",7,1,8,21,"0.333",10,"0.476",0,0,6,1,0,"0-0",NA,"Gavin Pappas","Denison"
"20",8,"0",10,3,13,31,"0.323",20,"0.645",0,0,2,1,0,"0-0",NA,"Dennis Van Der Wal","Ohio Wesleyan"
"20",8,"8",13,4,17,42,"31.0",27,"64.3",3,0,14,25,4,"0-0",NA,"Colton Beaudoin","Wooster"
"21",2,"-",0,0,0,1,"0.0",0,"0.0",0,0,0,2,0,"0-0",NA,"Jackson Young","Wooster"
"21",2,"0",0,0,0,0,"0",0,"0",0,0,1,0,0,"0-0",NA,"Andrew Woollard","Kenyon"
"21",2,"0",0,0,0,0,"0",0,"0",0,0,1,0,0,"0-0",NA,"Walker Johnson","Oberlin"
"21",2,"0",0,0,0,0,"0",0,"0",0,0,1,0,0,"0-0",NA,"Will White","Ohio Wesleyan"
