"No.","gp","gs","g","a","pts","sh","sh%","sog","sog%","up","dn","gb","to","ct","fo","fo%","Name","School"
"0",14,"10",8,5,13,18,"44.4",14,"77.8",0,0,9,13,2,"0-0",NA,"Zach Busby","Wittenberg"
"0",15,"0",2,1,3,9,"0.222",6,"0.667",0,0,14,15,6,"0-0",NA,"Levi Willett","Hiram"
"1",7,"0",2,3,5,6,"0.333",3,"0.5",0,0,2,5,1,"0-0",NA,"Nate Podolsky","Denison"
"1",8,"1",6,4,10,17,"35.3",10,"58.8",1,0,10,3,2,"0-0",NA,"Ethan Pac","Wittenberg"
"1",9,"-",5,0,5,14,"35.7",9,"64.3",0,2,3,3,0,"0-0",NA,"Teddy Berner","Wooster"
"1",13,"0",0,0,0,1,"0",0,"0",0,0,1,2,5,"0-0",NA,"Jayden Griffin","Hiram"
"1",15,"14",34,12,46,89,"0.382",55,"0.618",5,0,24,24,4,"0-0",NA,"Spencer Amacher","Ohio Wesleyan"
"1",16,"11",15,4,19,40,"0.375",20,"0.5",1,0,13,8,4,"0-0",NA,"Sam Ryu","Oberlin"
"1",16,"12",4,3,7,23,"0.174",11,"0.478",0,0,114,29,16,"109-187",0.583,"Jack Kneisley","Depauw"
"1",17,"0",16,7,23,40,"0.4",28,"0.7",0,0,11,8,1,"0-0",NA,"Rowan Goldin","Kenyon"
"10",9,"-",0,1,1,2,"0.0",1,"50.0",0,0,5,1,0,"0-0",NA,"Jimmy Paranzino","Wooster"
"10",9,"1",1,0,1,1,"1",1,"1",0,0,13,2,6,"0-0",NA,"John Cervieri","Ohio Wesleyan"
"10",14,"5",1,3,4,10,"0.1",2,"0.2",0,0,16,2,15,"0-0",NA,"Mike Bazzano","Kenyon"
"10",16,"4",0,1,1,2,"0",0,"0",0,0,26,14,13,"0-3",0,"David Belisle","Oberlin"
"10",17,"16",5,5,10,28,"0.179",15,"0.536",0,0,64,28,14,"9-25",0.36,"Aaron Gardner","Hiram"
"10",21,"0",2,2,4,8,"0.25",2,"0.25",0,0,25,5,13,"0-0",NA,"Jack Sload","Denison"
"11",2,"0",0,0,0,0,"0",0,"0",0,0,0,0,0,"0-0",NA,"Ethan Hendricks","Wabash"
"11",3,"0",0,0,0,0,"0",0,"0",0,0,1,0,1,"1-1",1,"Turner Keck","Depauw"
"11",5,"0",0,0,0,0,"0",0,"0",0,0,4,3,1,"0-0",NA,"Jackson Davies","Oberlin"
"11",6,"0",1,3,4,7,"0.143",2,"0.286",1,0,3,5,0,"0-0",NA,"David Lifson","Kenyon"
"11",15,"13",30,3,33,101,"29.7",55,"54.5",0,1,13,22,5,"0-0",NA,"Kyle Gould","Wittenberg"
"11",17,"17",12,7,19,60,"0.2",39,"0.65",2,0,21,26,4,"0-0",NA,"Ethan Mayer","Hiram"
"11",21,"0",18,15,33,63,"0.286",36,"0.571",2,0,9,17,0,"0-0",NA,"Quinn O'Donnell","Denison"
"12",4,"0",0,0,0,3,"0",3,"1",0,0,0,1,0,"0-0",NA,"John McDonnell","Oberlin"
"12",5,"0",0,0,0,2,"0",1,"0.5",0,0,4,0,2,"0-0",NA,"Andrew Randall","Denison"
"12",12,"8",18,3,21,44,"0.409",28,"0.636",0,0,19,15,4,"0-0",NA,"Carson Geier","Ohio Wesleyan"
"12",15,"-",1,3,4,16,"6.3",6,"37.5",0,0,14,9,6,"0-0",NA,"Max Fletcher","Wooster"
"12",15,"1",0,2,2,2,"0",0,"0",0,0,8,6,5,"0-0",NA,"Conner Cochran","Wabash"
"12",15,"5",4,0,4,28,"14.3",18,"64.3",1,0,1,13,2,"0-0",NA,"Mitchell Steinker","Wittenberg"
"12",16,"15",30,8,38,103,"0.291",68,"0.66",1,0,32,33,5,"0-0",NA,"Connor Gibson","Depauw"
"12",18,"18",0,0,0,1,"0",1,"1",0,0,20,3,9,"0-0",NA,"Graham O'Brien","Kenyon"
"13",1,"0",0,0,0,0,"0",0,"0",0,0,0,0,0,"0-0",NA,"Michael Cassidy","Denison"
"13",5,"-",0,0,0,0,"-",0,"-",0,0,3,0,1,"0-0",NA,"Silas Richard","Wooster"
"13",7,"1",0,0,0,0,"0",0,"0",0,0,2,1,2,"0-0",NA,"Samuel Miller","Wabash"
"13",11,"0",0,1,1,3,"0",1,"0.333",0,0,16,3,0,"42-75",0.56,"Evan Rose","Ohio Wesleyan"
"13",14,"0",1,1,2,4,"0.25",3,"0.75",0,0,42,2,1,"61-106",0.575,"Will Jordan","Kenyon"
"13",15,"8",0,0,0,0,"0",0,"0",0,0,12,10,8,"0-0",NA,"Josef Aschenbrenner","Hiram"
"13",16,"9",23,7,30,95,"0.242",53,"0.558",7,0,25,17,6,"0-0",NA,"Niko Maheras","Oberlin"
"14",5,"-",0,0,0,3,"0.0",1,"33.3",0,0,1,0,0,"0-0",NA,"Quinn Niblock","Wooster"
"14",9,"0",0,0,0,0,"0",0,"0",0,0,4,3,0,"1-5",0.2,"Sam Duffy","Oberlin"
"14",10,"0",0,0,0,0,"0",0,"0",0,0,4,0,0,"11-12",0.917,"Tucker Fulton","Kenyon"
"14",16,"1",17,1,18,69,"0.246",40,"0.58",4,0,24,27,3,"0-0",NA,"Josh Taylor","Wabash"
"14",16,"13",0,0,0,5,"0",2,"0.4",0,0,21,11,16,"0-0",NA,"Ryan Haffey","Hiram"
"14",16,"2",12,7,19,36,"0.333",21,"0.583",0,0,10,7,4,"0-0",NA,"Lawton Corrigan","Denison"
"14",16,"5",0,0,0,2,"0",2,"1",0,0,34,12,33,"0-0",NA,"Russ Nelson","Depauw"
"14",17,"2",8,8,16,43,"0.186",17,"0.395",0,0,5,8,1,"0-0",NA,"Jared Friesen","Ohio Wesleyan"
"15",10,"0",2,1,3,13,"0.154",6,"0.462",0,0,3,2,1,"0-0",NA,"Mike Kapral","Kenyon"
