"No.","gp","gs","min","ga","gaa","sv","sv%","win","loss","Name","win %","School"
2,3,1,"36:41",1,1.64,1,50,1,0,"Carl Mazabras","100.0","Ohio Wesleyan"
5,4,0,"31:28",3,5.72,7,70,0,0,"Ryan Matarese","NaN","Kenyon"
6,6,6,"360:00",133,22.17,93,41.2,0,6,"Aidan Griffin","0.0","Hiram"
11,1,0,"09:41",1,6.2,1,50,0,0,"Turner Keck","NaN","Depauw"
21,2,0,"30:00",4,8,4,50,0,0,"Will White","NaN","Ohio Wesleyan"
22,8,8,"480:00",156,19.5,126,44.7,1,7,"Braeden Cooper","12.5","Wabash"
24,8,8,"455:13",79,10.41,92,53.8,4,4,"Jake Pillsbury","50.0","Oberlin"
26,3,0,"33:33",2,3.58,2,50,0,0,"Jason Astle","0","Wooster"
26,5,0,"60:07",5,4.99,9,64.3,0,0,"Andrew Albert","NaN","Denison"
27,8,8,"385:40",36,5.6,53,59.6,7,1,"Archer Darrach","87.5","Denison"
28,7,6,"258:09",54,12.55,55,50.5,3,3,"Chase Singleton","50","Wittenberg"
33,1,0,"21:26",2,5.6,1,33.3,0,0,"Adam Meyer","0","Wooster"
35,6,6,"305:15",35,6.88,48,57.8,5,1,"Nathan George","83.3","Ohio Wesleyan"
35,7,2,"197:55",46,13.95,44,48.9,1,1,"Will Westermeyer","50","Wittenberg"
35,7,7,"373:32",50,8.03,73,59.3,6,1,"Adam Hall","85.7","Kenyon"
35,8,7,"388:54",70,10.8,82,53.9,2,5,"Anthony Reinhardt","28.6","Depauw"
38,8,8,"408:25",67,9.84,70,51.1,4,4,"Paul Chandler","50","Wooster"
39,2,0,"20:12",2,5.94,1,33.3,0,0,"Will Creevy","NaN","Denison"
40,3,0,"15:49",3,11.38,8,72.7,0,0,"Justin Bader","NaN","Oberlin"
41,4,0,"71:28",10,8.4,9,47.4,0,0,"Paddy Colligan","NaN","Ohio Wesleyan"
42,1,0,"08:58",1,6.69,2,66.7,0,0,"Joe Barocas","NaN","Oberlin"
42,3,0,"14:01",1,4.28,4,80,0,0,"Luke Liggett","NaN","Denison"
44,4,1,"81:25",23,16.95,23,50,0,1,"Sebastian Schaefer","0.0","Depauw"
45,3,1,"36:36",4,6.56,6,60,1,0,"George Whitney","100.0","Ohio Wesleyan"
46,1,0,"15:00",1,4,4,80,0,0,"Jack McClellan","NaN","Kenyon"
47,2,0,"16:36",3,10.84,6,66.7,0,0,"Théo Weidinger","0","Wooster"
