"No.","gp","gs","min","ga","gaa","sv","sv%","win","loss","Name","win %","School"
2,7,2,"114:06",19,9.99,10,34.5,1,1,"Carl Mazabras","50.0","Ohio Wesleyan"
5,6,0,"62:40",4,3.83,10,71.4,0,0,"Ryan Matarese","NaN","Kenyon"
6,17,17,"1019:29",248,14.6,203,45,5,12,"Aidan Griffin","29.4","Hiram"
11,2,0,"39:41",1,1.51,3,75,0,0,"Turner Keck","NaN","Depauw"
21,3,1,"45:00",5,6.67,6,54.5,1,0,"Will White","100.0","Ohio Wesleyan"
22,16,16,"947:51",235,14.88,217,48,7,9,"Braeden Cooper","43.8","Wabash"
24,15,14,"852:49",154,10.83,193,55.6,7,8,"Jake Pillsbury","46.7","Oberlin"
26,7,0,"68:33",8,7,9,52.9,0,0,"Andrew Albert","NaN","Denison"
26,8,0,"79:57",10,7.5,6,37.5,0,0,"Jason Astle","0","Wooster"
27,21,21,"1155:39",164,8.51,203,55.3,17,4,"Archer Darrach","81.0","Denison"
28,12,6,"399:01",79,11.88,81,50.6,4,4,"Chase Singleton","50","Wittenberg"
31,1,0,"06:17",3,28.65,1,25,0,0,"Noah Moylan","NaN","Oberlin"
33,3,0,"34:27",8,13.93,4,33.3,0,0,"Adam Meyer","0","Wooster"
35,12,9,"530:15",68,7.69,89,56.7,8,2,"Nathan George","80.0","Ohio Wesleyan"
35,14,9,"461:34",97,12.61,102,51.3,3,4,"Will Westermeyer","42.9","Wittenberg"
35,14,13,"718:54",107,8.93,139,56.5,5,8,"Anthony Reinhardt","38.5","Depauw"
35,18,18,"979:12",149,9.13,189,55.9,15,3,"Adam Hall","83.3","Kenyon"
38,17,17,"877:11",130,8.89,172,57,12,4,"Paul Chandler","75","Wooster"
39,2,0,"20:12",2,5.94,1,33.3,0,0,"Will Creevy","NaN","Denison"
40,3,0,"15:49",3,11.38,8,72.7,0,0,"Justin Bader","NaN","Oberlin"
41,9,3,"251:50",35,8.34,35,50,1,2,"Paddy Colligan","33.3","Ohio Wesleyan"
42,3,0,"14:01",1,4.28,4,80,0,0,"Luke Liggett","NaN","Denison"
42,3,2,"85:05",18,12.69,19,51.4,1,0,"Joe Barocas","100.0","Oberlin"
44,6,3,"203:14",33,9.74,33,50,2,1,"Sebastian Schaefer","66.7","Depauw"
45,5,2,"78:49",11,8.37,10,47.6,1,0,"George Whitney","100.0","Ohio Wesleyan"
46,2,0,"38:08",1,1.57,5,83.3,0,0,"Jack McClellan","NaN","Kenyon"
47,3,0,"19:59",4,12.01,7,63.6,0,0,"Théo Weidinger","0","Wooster"
